id,sol,earth_date,total_photos,cameras,first_photo_url,first_photo_alt
79,47,2004-03-13,83,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/047/1F132351247EDN05AMP1121L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-13 using its Front Hazard Avoidance Camera.
80,48,2004-03-14,184,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/048/1F132452211EFF05BJP1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-14 using its Front Hazard Avoidance Camera.
81,49,2004-03-15,103,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/049/1F132546842EFF0602P1214L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-15 using its Front Hazard Avoidance Camera.
83,50,2004-03-16,134,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/050/1F132621803EDN0602P1121L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-16 using its Front Hazard Avoidance Camera.
85,51,2004-03-17,181,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/051/1F132722599EFF06A4P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-17 using its Front Hazard Avoidance Camera.
87,52,2004-03-18,168,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/052/1F132810419EFF06AOP1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-18 using its Front Hazard Avoidance Camera.
89,53,2004-03-19,112,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/053/1F132899385EFF06BCP1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-19 using its Front Hazard Avoidance Camera.
91,54,2004-03-20,158,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/054/1F132985389EFF06BYP1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-20 using its Front Hazard Avoidance Camera.
92,55,2004-03-21,235,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/055/1F133081175EFF06H6P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-21 using its Front Hazard Avoidance Camera.
93,56,2004-03-22,161,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/056/1F133162423EFF06IQP1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-22 using its Front Hazard Avoidance Camera.
95,57,2004-03-23,119,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/057/1F133251560EFF0704P1220L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-23 using its Front Hazard Avoidance Camera.
97,58,2004-03-24,316,"FHAZ, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/058/1F133332850EFF0824P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-24 using its Front Hazard Avoidance Camera.
99,59,2004-03-25,57,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/059/1F133421802EDN0830P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-25 using its Front Hazard Avoidance Camera.
102,60,2004-03-26,346,"FHAZ, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/060/1F133509896EDN0830P1121L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-26 using its Front Hazard Avoidance Camera.
103,61,2004-03-27,35,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/061/1F133613579EFF0870P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-27 using its Front Hazard Avoidance Camera.
105,62,2004-03-28,131,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/062/1F133697995EFF08A2P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-28 using its Front Hazard Avoidance Camera.
107,63,2004-03-29,133,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/063/1F133785462EFF08AMP1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-29 using its Front Hazard Avoidance Camera.
108,64,2004-03-30,76,PANCAM,http://mars.nasa.gov/mer/gallery/all/1/p/064/1P133860106EDN08AQP2619L2M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-30 using its Panoramic Camera.
109,65,2004-03-31,115,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/065/1F133954753EDN08AQP1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-03-31 using its Front Hazard Avoidance Camera.
111,66,2004-04-01,54,"FHAZ, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/066/1F134038324EDN08AQP1121L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-01 using its Front Hazard Avoidance Camera.
113,67,2004-04-02,62,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/067/1F134130910EDN08AQP1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-02 using its Front Hazard Avoidance Camera.
115,68,2004-04-03,86,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/068/1F134232130EFF08AYP1214L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-03 using its Front Hazard Avoidance Camera.
116,69,2004-04-04,144,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/069/1F134309222EDN08AYP1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-04 using its Front Hazard Avoidance Camera.
117,70,2004-04-05,120,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/070/1F134411286EFF08E5P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-05 using its Front Hazard Avoidance Camera.
118,71,2004-04-06,28,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/071/1F134494074EFF0918P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-06 using its Front Hazard Avoidance Camera.
120,72,2004-04-07,112,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/072/1F134588979EFF0992P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-07 using its Front Hazard Avoidance Camera.
122,73,2004-04-09,100,"FHAZ, MINITES, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/073/1F134672954EFF1007R2763L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-09 using its Front Hazard Avoidance Camera.
124,74,2004-04-10,54,"FHAZ, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/074/1F134752743EDN10CGP1131L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-10 using its Front Hazard Avoidance Camera.
126,80,2004-04-16,59,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/080/1F135284140EDN10CGP1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-16 using its Front Hazard Avoidance Camera.
128,81,2004-04-17,128,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/081/1F135379499EFF10F0P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-17 using its Front Hazard Avoidance Camera.
130,82,2004-04-18,48,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/082/1F135474225EFF11HGP1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-18 using its Front Hazard Avoidance Camera.
132,83,2004-04-19,42,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/083/1F135565759EFF12CEP1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-19 using its Front Hazard Avoidance Camera.
135,84,2004-04-20,128,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/084/1F135648690EFF1326P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-20 using its Front Hazard Avoidance Camera.
137,85,2004-04-21,201,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/085/1F135738540EFF1407P1214L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-21 using its Front Hazard Avoidance Camera.
140,86,2004-04-22,50,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/086/1F135828331EFF1409P1214L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-22 using its Front Hazard Avoidance Camera.
142,87,2004-04-23,115,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/087/1F135907170EDN1409P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-23 using its Front Hazard Avoidance Camera.
144,88,2004-04-24,101,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/088/1F135999414EFF1438P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-24 using its Front Hazard Avoidance Camera.
145,89,2004-04-25,164,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/089/1F136083769EDN1500P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-25 using its Front Hazard Avoidance Camera.
146,90,2004-04-26,104,"FHAZ, MINITES, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/090/1F136189091EDN1500P1121L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-26 using its Front Hazard Avoidance Camera.
148,91,2004-04-27,127,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/091/1F136277772EFF1518P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-27 using its Front Hazard Avoidance Camera.
150,92,2004-04-28,14,"FHAZ, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/092/1F136363282EFF1700P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-28 using its Front Hazard Avoidance Camera.
152,93,2004-04-29,50,"FHAZ, NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/093/1F136441314EFF1800P1214L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-29 using its Front Hazard Avoidance Camera.
154,94,2004-04-30,147,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/094/1F136530563EFF1834P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-04-30 using its Front Hazard Avoidance Camera.
156,95,2004-05-01,94,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/095/1F136618833EFF1923P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-01 using its Front Hazard Avoidance Camera.
157,96,2004-05-02,209,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/096/1F136706072EFF2002P1214L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-02 using its Front Hazard Avoidance Camera.
158,97,2004-05-03,187,"FHAZ, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/097/1F136793346EDN2002P1131L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-03 using its Front Hazard Avoidance Camera.
160,98,2004-05-04,96,"NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/n/098/1N136889234EFF2002P1814L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-04 using its Navigation Camera.
162,99,2004-05-05,79,"FHAZ, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/099/1F136989955EDN2002P1121L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-05 using its Front Hazard Avoidance Camera.
164,100,2004-05-06,51,"FHAZ, MINITES, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/100/1F137064531EFF2019P1214L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-06 using its Front Hazard Avoidance Camera.
166,101,2004-05-07,238,"NAVCAM, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/n/101/1N137171207EFF2019P2680L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-07 using its Navigation Camera.
168,102,2004-05-08,46,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/102/1F137251488EFF2051P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-08 using its Front Hazard Avoidance Camera.
170,103,2004-05-09,113,"FHAZ, NAVCAM, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/103/1F137330892EFF2121P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-09 using its Front Hazard Avoidance Camera.
172,104,2004-05-10,189,"FHAZ, PANCAM, RHAZ",http://mars.nasa.gov/mer/gallery/all/1/f/104/1F137416618EFF2204P1201L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-10 using its Front Hazard Avoidance Camera.
174,105,2004-05-11,99,"FHAZ, MINITES, PANCAM",http://mars.nasa.gov/mer/gallery/all/1/f/105/1F137503834EDN2208P1111L0M1-BR.JPG,Photo taken by the Opportunity Rover on 2004-05-11 using its Front Hazard Avoidance Camera.
